obsolete_hs10,obsolete_desc_en,new_hs10,new_desc_en,same_code,mechanical_relation,mapping_type,source_file,checked_on
0709591000,"Mushrooms, o/t Agaricus, for processing, fresh or chilled, nes",0709591000,"Mushrooms, fresh or chilled, nes, for processing",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0709599000,"Mushrooms, o/t Agaricus, o/t for processing, fresh or chilled, nes",0709599000,"Mushrooms, fresh or chilled, nes, o/t for processing",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0712391100,"Mushrooms, Porcini or Shiitake, dr,cut,sliced,etc,n furth prep,for mfr food prod",0712341000,"Shiitake (Lentinus edodes),dried,cut,sliced,etc,n furth prep,for mfr food prod",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0712391900,"Mushrooms, nes, dried, cut, sliced, etc, but not further prepared",0712349000,"Shiitake (Lentinus edodes),dried,cut,sliced,broken,in pdr,not further prep,nes",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0712391100,"Mushrooms, Porcini or Shiitake, dr,cut,sliced,etc,n furth prep,for mfr food prod",0712391100,"Porcini (Boletus Edulis),dr,cut,sliced,etc,n furth prep,for mfr food prod",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0712391900,"Mushrooms, nes, dried, cut, sliced, etc, but not further prepared",0712391900,"Mushrooms,truffles, o/t Porcini,nes,dr,cut,sliced,etc,n furth prep,mfr food prod",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
0802900090,"Nuts, edible, nes, fresh or dried, whether or not shelled or peeled",0802910000,"Pine nuts, in shell, fresh or dried",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0802900090,"Nuts, edible, nes, fresh or dried, whether or not shelled or peeled",0802920000,"Pine nuts, shelled or peeled, fresh or dried",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
0802900011,"Pecans, in shell",0802990011,"Pecans, in shell",False,same heading,one to one,conc-10-stats-2022.xlsx,2026-09-07
0802900012,"Pecans, shelled",0802990012,"Pecans, shelled",False,same heading,one to one,conc-10-stats-2022.xlsx,2026-09-07
0802900090,"Nuts, edible, nes, fresh or dried, whether or not shelled or peeled",0802990090,"Nuts, edible, nes, fresh or dried, whether or not shelled or peeled",False,same heading,split,conc-10-stats-2022.xlsx,2026-09-07
2008112000,"Peanuts, blanched",1202421000,"Peanuts, blanched",False,different chapter,one to one,conc-10-stats-2022.xlsx,2026-09-07
1202420000,"Ground-nuts, o/t for sowing, shelled, w/n broken,not roasted or otherwise cooked",1202429000,"Ground-nuts, o/t for sowing,shelled,w/n broken,not roasted/otherwise cooked,nes",False,same subheading,one to one,conc-10-stats-2022.xlsx,2026-09-07
1211901010,"Herbal tea,of plants & pts of plants,in bags,nes,for indiv servings,cert organic",1211601000,"Bark of African cherry (Prunus africana), herbal tea in bags for indiv servings",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
1211901020,"Herbal tea,of plants & pts of plants,in bags,nes,for indiv serv,not cert organic",1211601000,"Bark of African cherry (Prunus africana), herbal tea in bags for indiv servings",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
1211909010,"Bark, of a kind used primarily in pharmacy, fresh/chilled/frozen/dried",1211609000,"Bark of African cherry,for perfumery/pharm/insect/fung/sim,fr/chd/frz/dr,nes",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
1211909090,"Plants and parts of plants,nes,for perfumery/pharm/insect/fung/sim,fr/chd/frz/dr",1211609000,"Bark of African cherry,for perfumery/pharm/insect/fung/sim,fr/chd/frz/dr,nes",False,same heading,many to many,conc-10-stats-2022.xlsx,2026-09-07
1211901010,"Herbal tea,of plants & pts of plants,in bags,nes,for indiv servings,cert organic",1211901010,"Herbal tea,of plants & pts of plants,in bags,nes,for indiv servings,cert organic",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1211901020,"Herbal tea,of plants & pts of plants,in bags,nes,for indiv serv,not cert organic",1211901020,"Herbal tea,of plants & pts of plants,in bags,nes,for indiv serv,not cert organic",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
1211909010,"Bark, of a kind used primarily in pharmacy, fresh/chilled/frozen/dried",1211909010,"Bark, of a kind used primarily in pharmacy, fresh/chilled/frozen/dried",True,same code,split,conc-10-stats-2022.xlsx,2026-09-07
